taskNum,stim1,stim2,stim3,stim4,stim5,stim6,trial1,trial2,trial3,stimsType,difficulty
9,chessboard,tennisracquet,babushkadolls,,,,ringbinder chessboard  cookingpan  motorcycle,nunchaku tennisracquet  ceilingfan  pokercard, coin  babushkadolls  easteregg_redo  orifan,,easy
10,balloon,keyboard,domino,umbrella,frisbee,headphone,watch  cellphone  axe domino ,airplane   christmasstocking   bell umbrella ,frisbee  trunk   headband  wineglass,,
11,bike,flashlight,backpack,,,,bike_1 bike_2 bike_3 bike_4,flashlight_1 flashlight_2 flashlight_3 flashlight_4,backpack_1 backpack_2 backpack_3 backpack_4,,medium
12,turtle,toyhorse,hammer,lipstick,,,toyhorse,hammer,lipstick,,
13,tongs,handgun,crib,kayak,microwave,,handgun,crib,kayak,,
14,hourglass,dresser,pen,trumpet,lawnmower,bucket,pen,trumpet,lawnmower,,
15,,,,,,,,,,,
16,pizza_1,pizza_2,pizza_3,pizza_4,pizza_5,pizza_6,pizza_8 pizza_7 pizza_3 pizza_9,pizza_10 pizza_12 pizza_11 pizza_4,pizza_13 pizza_14 pizza_5 pizza_15,,hard
