taskNum,stim1,stim2,stim3,stim4,stim5,stim6,trial1,trial2,trial3,stimsType,difficulty
WMBP,970,,,,,,,,,1s,practice
451,519,154,362,,,,,,,1s,easy
452,,,,,,,,,,1s,
453,,,,,,,,,,1s,
454,,,,,,,,,,1s,
455,,,,,,,,,,1s,
456,8539,1872,5364,,,,,,,1s,medium
457,,,,,,,,,,1s,
458,,,,,,,,,,1s,
459,,,,,,,,,,1s,
460,729531,462359,853196,,,,,,,1s,hard
461,,,,,,,,,,1s,
462,,,,,,,,,,1s,
463,43796281,15968732,37629814,,,,,,,1s,hard
464,,,,,,,,,,1s,
465,,,,,,,,,,1s,
466,,,,,,,,,,1s,
467,,,,,,,,,,1s,
